,Name,objType
995,152476,Star
996,149026,Star
997,18242,Star
998,224490,Star
999,202012,Star
1000,31996,Star
1001,103483,Star
1002,148206,Star
1003,152276,Star
1004,109914,Star
1005,39881,Star
1006,92763,Star
1007,186686,Star
1008,64379,Star
1009,82901,Star
1010,194636,Star
1011,222561,Star
1012,14028,Star
1013,27490,Star
1014,84748,Star
1015,12021,Star
1016,138268,Star
1017,12211,Star
1018,2051,Star
1019,73603,Star
1020,136753,Star
1021,141850,Star
1022,109729,Star
1023,120499,Star
1024,128609,Star
1025,34019,Star
1026,220105,Star
1027,196094,Star
1028,143454,Star
1029,39816,Star
1030,224960,Star
1031,117833,Star
1032,107199,Star
1033,1967,Star
1034,170141,Star
1035,193680,Star
1036,187796,Star
1037,257937,Star
1038,257498,Star
1039,201433,Star
1040,162220,Star
1041,177940,Star
1042,152476,Star
1043,149026,Star
1044,18242,Star
1045,224490,Star
1046,202012,Star
1047,31996,Star
1048,103483,Star
1049,148206,Star
1050,152276,Star
1051,109914,Star
1052,39881,Star
1053,92763,Star
1054,186686,Star
1055,64379,Star
1056,82901,Star
1057,194636,Star
1058,222561,Star
1059,14028,Star
1060,27490,Star
1061,84748,Star
1062,12021,Star
1063,138268,Star
1064,12211,Star
1065,2051,Star
1066,73603,Star
1067,136753,Star
1068,141850,Star
1069,109729,Star
1070,120499,Star
1071,128609,Star
1072,34019,Star
1073,220105,Star
1074,196094,Star
1075,143454,Star
1076,39816,Star
1077,224960,Star
1078,117833,Star
1079,107199,Star
1080,1967,Star
1081,170141,Star
1082,193680,Star
1083,187796,Star
1084,257937,Star
1085,257498,Star
1086,201433,Star
1087,162220,Star
1088,177940,Star
1089,152476,Star
1090,149026,Star
1091,18242,Star
1092,224490,Star
1093,202012,Star
1094,31996,Star
1095,103483,Star
1096,148206,Star
1097,152276,Star
1098,109914,Star
1099,39881,Star
1100,92763,Star
1101,186686,Star
1102,64379,Star
1103,82901,Star
1104,194636,Star
1105,222561,Star
1106,14028,Star
1107,27490,Star
1108,84748,Star
1109,12021,Star
1110,138268,Star
1111,12211,Star
1112,2051,Star
1113,73603,Star
1114,136753,Star
1115,141850,Star
1116,109729,Star
1117,120499,Star
1118,128609,Star
1119,34019,Star
1120,220105,Star
1121,196094,Star
1122,143454,Star
1123,39816,Star
1124,224960,Star
1125,117833,Star
1126,107199,Star
1127,1967,Star
1128,170141,Star
1129,193680,Star
1130,187796,Star
1131,257937,Star
1132,257498,Star
1133,201433,Star
1134,162220,Star
1135,177940,Star
1136,152476,Star
1137,149026,Star
1138,18242,Star
1139,224490,Star
1140,202012,Star
1141,31996,Star
1142,103483,Star
1143,148206,Star
1144,152276,Star
1145,109914,Star
1146,39881,Star
1147,92763,Star
1148,186686,Star
1149,64379,Star
1150,82901,Star
1151,194636,Star
1152,222561,Star
1153,14028,Star
