NGC_Num,Other names,General Type,Specific Type,Apparent magnitude
875,,Galaxy,Lenticular galaxy,14.2
876,,Galaxy,Spiral galaxy,16.5
877,,Galaxy,Spiral galaxy,12.5
878,,Galaxy,Spiral galaxy,14.8
879,,Galaxy,Irregular galaxy,15.5
880,,Galaxy,Irregular galaxy,15.6
881,,Galaxy,Spiral galaxy,12.5
882,,Galaxy,Lenticular galaxy,14.9
883,,Galaxy,Lenticular galaxy,13
884,Chi Persei Cluster,Cluster,Open cluster,6.6
885,(Duplicate of NGC 863),Galaxy,Spiral galaxy,14
886,,Cluster,Open cluster,
887,,Galaxy,Spiral galaxy,13
888,,Galaxy,Elliptical galaxy,
889,,Galaxy,Elliptical galaxy,14.2
890,,Galaxy,Lenticular galaxy,12.6
891,,Galaxy,Spiral galaxy,10.8
892,,Galaxy,Spiral galaxy,
893,,Galaxy,Spiral galaxy,13.5
894,(Northwestern arm of NGC 895),Galaxy,Spiral arm,11.5
895,,Galaxy,Spiral galaxy,11.5
896,,Nebula,Diffuse nebula,
897,,Galaxy,Spiral galaxy,11
898,,Galaxy,Spiral galaxy,13.8
899,,Galaxy,Irregular galaxy,13.3
900,,Galaxy,Lenticular galaxy,15
901,,Galaxy,Galaxy,
902,,Galaxy,Spiral galaxy,14
903,,Galaxy,Galaxy,
904,,Galaxy,Elliptical galaxy,15
905,,Galaxy,Galaxy,15.9
906,,Galaxy,Spiral galaxy,14.4
907,,Galaxy,Irregular galaxy,14.2
908,,Galaxy,Spiral galaxy,10.9
909,,Galaxy,Elliptical galaxy,14.5
910,,Galaxy,Elliptical galaxy,14.5
911,,Galaxy,Elliptical galaxy,14
912,,Galaxy,Elliptical galaxy,15
913,,Galaxy,Elliptical galaxy,16
914,,Galaxy,Spiral galaxy,13.9
915,,Galaxy,Galaxy,15
916,,Galaxy,Galaxy,14.9
917,,Galaxy,Spiral galaxy,14.5
918,,Galaxy,Spiral galaxy,14.3
919,,Galaxy,Spiral galaxy,15.5
920,,Galaxy,Spiral galaxy,15.6
921,,Galaxy,Spiral galaxy,14
922,,Galaxy,Spiral galaxy,12.6
923,,Galaxy,Spiral galaxy,14.4
924,,Galaxy,Lenticular galaxy,13.8
925,,Galaxy,Spiral galaxy,10.5
926,,Galaxy,Spiral galaxy,13.9
927,,Galaxy,Spiral galaxy,14.5
928,,Galaxy,Spiral galaxy,14.7
929,,Galaxy,Spiral galaxy,15
930,,N/A,Unknown,
931,,Galaxy,Spiral galaxy,13.9
932,,Galaxy,Spiral galaxy,13.7
933,,Galaxy,Spiral galaxy,15.5
934,,Galaxy,Lenticular galaxy,14.4
935,,Galaxy,Spiral galaxy,13.6
936,,Galaxy,Lenticular galaxy,11.3
937,,Galaxy,Spiral galaxy,15
938,,Galaxy,Elliptical galaxy,13.8
939,,Galaxy,Elliptical galaxy,14
940,,Galaxy,Lenticular galaxy,13.4
941,,Galaxy,Spiral galaxy,13.4
942,,Galaxy,Irregular galaxy,14
943,,Galaxy,Lenticular galaxy,14
944,,Galaxy,Lenticular galaxy,14
945,,Galaxy,Spiral galaxy,12
946,,Galaxy,Lenticular galaxy,14.5
947,,Galaxy,Spiral galaxy,12.9
948,,Galaxy,Spiral galaxy,14
949,,Galaxy,Spiral galaxy,12
950,,Galaxy,Spiral galaxy,14
951,,Galaxy,Spiral galaxy,
